metric,as_of,days_old,is_stale,is_fundamentals_input,value,unit,percentile_5y,daily_change_pct,weekly_change_pct,monthly_change_pct,daily_change_abs,weekly_change_abs,monthly_change_abs
TTF Gas,2026-06-15,1,False,False,42.50699996948242,EUR/MWh,51.949085123309466,-9.120644279572875,-2.398735013809239,-10.802641782987388,,,
EU Storage,2026-06-14,2,False,False,44.72,% full,20.12028430836523,0.8570139828597112,3.599020162050115,17.037424757916764,,,
EUA Carbon,2026-06-15,1,False,False,33.400001525878906,EUR/tCO2,39.76095617529881,2.769235464242792,-0.6986518405371012,4.4402814383007305,,,
DE Power,2026-06-16,0,False,False,131.85,EUR/MWh,73.78215654077724,78.5719377281022,-28.75010547129525,34.722393702396516,,,
GB Power,2026-06-16,0,False,False,118.18570534547169,EUR/MWh,83.06010928961749,0.4498210299373584,-22.49020802462266,-16.319609328654504,,,
Renewables,2026-06-15,1,False,False,70.97727035390407,% of load,93.42465753424658,-19.857169808449726,34.724702172317556,34.93229330382108,,,
Clean Spark,2026-06-16,0,False,False,34.54479949951171,EUR/MWh,90.8593322386426,,,,58.01421052631579,-17.282247119301243,43.76120369466146
Clean Dark,2026-06-16,0,False,False,100.04808532611034,EUR/MWh,74.71264367816092,,,,58.01421052631581,-28.936925887601937,33.54502342144946
Coal,2026-06-15,1,False,True,11.050000190734863,USD/t,37.142857142857146,0.4317256274769754,1.1092188716042228,2.3622057678434283,,,
